fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
0.264806036,0.186610646,-0.100439845,0.637171624,25470.49694,0.999802966,Gains,Interaction,40
0.227371609,0.63476817,-1.143559177,1.346707804,3437.596109,1.001288353,Gains,Temp change,41
-0.006730113,0.009973981,-0.026411359,0.012822025,19634.2673,1.000140009,Gains,Average Temp,41
0.663929706,0.189324924,0.290581642,1.034780082,17878.79941,1.000025967,Gains,Interaction,41
0.587801415,0.32822097,-0.047997581,1.207711818,5491.283699,1.000158308,Gains,Temp change,42
0.015909429,0.009988741,-0.003205929,0.035614943,22146.17449,0.999884826,Gains,Average Temp,42
0.527876431,0.193814925,0.142625895,0.903060521,21998.32652,0.999880893,Gains,Interaction,42
0.55175542,1.152108456,-1.671021484,2.830200902,2947.783318,1.00124712,Gains,Temp change,43
0.023426902,0.010722852,0.002225279,0.044499075,16748.23021,1.000430706,Gains,Average Temp,43
0.108366577,0.180921654,-0.247114738,0.464782369,18399.84598,0.999932564,Gains,Interaction,43
0.122951707,0.626803397,-1.323323342,1.186145527,5625.97956,1.000580565,Gains,Temp change,44
0.006346064,0.010338552,-0.013801823,0.026809681,20678.02191,0.999844653,Gains,Average Temp,44
0.499112959,0.191585127,0.130847122,0.873627286,28147.45107,0.999950243,Gains,Interaction,44
0.525068945,1.40513438,-1.912181004,3.306455611,2681.112399,1.003052886,Gains,Temp change,45
0.006386194,0.010659605,-0.014408105,0.027177463,23223.10788,0.999912483,Gains,Average Temp,45
0.293904322,0.190238683,-0.076660162,0.66568743,23276.01256,0.999836132,Gains,Interaction,45
0.432264721,0.542572365,-0.670772237,1.500008358,4547.650376,1.000944443,Gains,Temp change,46
0.013690006,0.01027568,-0.006622538,0.033866583,21558.95667,1.000196152,Gains,Average Temp,46
0.272898509,0.179812396,-0.07689702,0.624749197,26563.78837,0.999956576,Gains,Interaction,46
0.150651597,0.777339324,-1.534788797,1.601699853,4989.308977,1.00003596,Gains,Temp change,47
0.016294572,0.010380297,-0.00405034,0.036562692,18717.88937,0.999835128,Gains,Average Temp,47
0.259670073,0.184845475,-0.107141715,0.616808796,20150.43817,0.999788837,Gains,Interaction,47
0.788707127,0.603442968,-0.137428979,2.163398558,4892.424164,1.000512357,Gains,Temp change,48
0.001392139,0.010928959,-0.019834406,0.022987832,17018.5084,1.000117232,Gains,Average Temp,48
0.152814548,0.194212409,-0.222750089,0.535163372,17559.43753,0.999796181,Gains,Interaction,48
0.587941366,0.678149243,-0.654455971,1.958482784,4235.035406,1.000303643,Gains,Temp change,49
0.00202541,0.00964965,-0.016854932,0.021072212,20814.33626,0.999851986,Gains,Average Temp,49
0.659067394,0.16089627,0.346620724,0.972107754,25964.97774,0.999936414,Gains,Interaction,49
0.502581789,0.480887718,-0.36314004,1.569183337,6531.056335,1.000086718,Gains,Temp change,50
0.002795048,0.010280716,-0.017092499,0.022944528,18224.64171,0.999835934,Gains,Average Temp,50
0.279798405,0.175252849,-0.064887602,0.623169666,19389.77711,0.999992407,Gains,Interaction,50
0.451733728,0.634802957,-0.74678202,1.744373061,4623.351434,1.000355825,Gains,Temp change,51
0.018398963,0.009935715,-0.00114816,0.037805556,18332.10371,0.999926783,Gains,Average Temp,51
0.018171505,0.18452559,-0.341536873,0.380173984,20841.59746,0.999912474,Gains,Interaction,51
-0.176032174,0.754636407,-1.723886431,0.948984412,2367.97433,1.001090962,Gains,Temp change,52
0.005195818,0.011018901,-0.016656939,0.026787296,16778.71715,0.999780307,Gains,Average Temp,52
0.13315934,0.169797661,-0.193981897,0.466121825,22363.73627,0.999847827,Gains,Interaction,52
-0.406274358,0.936576539,-2.319729268,1.341217255,4253.196933,1.001015424,Gains,Temp change,53
0.008044616,0.01058086,-0.012911341,0.028786683,20278.96379,0.999846797,Gains,Average Temp,53
0.262526986,0.190690912,-0.114080247,0.636273,19048.02599,1.00003079,Gains,Interaction,53
0.222067932,0.610784052,-1.140958285,1.253264107,4362.99809,1.000905615,Gains,Temp change,54
0.016998957,0.01059867,-0.003475826,0.0380756,21280.08429,0.999836061,Gains,Average Temp,54
0.045351272,0.182091262,-0.308149473,0.400578921,26262.43624,0.999838438,Gains,Interaction,54
